pop2000,county_id,cz,czname,state_id,stateabbrv
141685,37035,1100,Hickory,37,NC
49329,37037,1701,Raleigh,37,NC
24298,37039,1204,Andrews,37,NC
14526,37041,2000,Virginia Beach,51,VA
8775,37043,1204,Andrews,37,NC
96287,37045,800,Gastonia,37,NC
54749,37047,1500,Wilmington,37,NC
91436,37049,1900,Jacksonville,37,NC
302963,37051,1400,Fayetteville,37,NC
18190,37053,2000,Virginia Beach,51,VA
29967,37055,2100,Washington,37,NC
147246,37057,500,Greensboro,37,NC
34835,37059,401,Winston-Salem,37,NC
49063,37061,1800,Goldsboro,37,NC
223314,37063,1701,Raleigh,37,NC
55606,37065,1600,Wilson,37,NC
306067,37067,401,Winston-Salem,37,NC
47260,37069,1701,Raleigh,37,NC
190365,37071,800,Gastonia,37,NC
10516,37073,2000,Virginia Beach,51,VA
7993,37075,1202,Sylva,37,NC
48498,37077,1701,Raleigh,37,NC
18974,37079,1900,Jacksonville,37,NC
421048,37081,500,Greensboro,37,NC
57370,37083,2600,Roanoke Rapids,37,NC
91025,37085,1701,Raleigh,37,NC
54033,37087,1203,Asheville,37,NC
89173,37089,1203,Asheville,37,NC
22601,37091,2600,Roanoke Rapids,37,NC
33646,37093,1400,Fayetteville,37,NC
5826,37095,2100,Washington,37,NC
122660,37097,1100,Hickory,37,NC
33121,37099,1202,Sylva,37,NC
121965,37101,1701,Raleigh,37,NC
10381,37103,1900,Jacksonville,37,NC
49040,37105,1701,Raleigh,37,NC
59648,37107,1900,Jacksonville,37,NC
63780,37109,800,Gastonia,37,NC
42151,37111,1002,Morganton,37,NC
29811,37113,1201,Franklin,37,NC
19635,37115,1203,Asheville,37,NC
25593,37117,2100,Washington,37,NC
695454,37119,900,Charlotte,37,NC
15687,37121,1002,Morganton,37,NC
26822,37123,1400,Fayetteville,37,NC
74769,37125,1400,Fayetteville,37,NC
87420,37127,1600,Wilson,37,NC
160307,37129,1500,Wilmington,37,NC
22086,37131,2600,Roanoke Rapids,37,NC
150355,37133,1900,Jacksonville,37,NC
118227,37135,1701,Raleigh,37,NC
12934,37137,1900,Jacksonville,37,NC
34897,37139,2000,Virginia Beach,51,VA
41082,37141,1500,Wilmington,37,NC
11368,37143,2000,Virginia Beach,51,VA
35623,37145,1701,Raleigh,37,NC
133798,37147,1900,Jacksonville,37,NC
18324,37149,700,Spartanburg,45,SC
130454,37151,500,Greensboro,37,NC
46564,37153,1400,Fayetteville,37,NC
123339,37155,1400,Fayetteville,37,NC
91928,37157,500,Greensboro,37,NC
130340,37159,900,Charlotte,37,NC
62899,37161,800,Gastonia,37,NC
60161,37163,1800,Goldsboro,37,NC
35998,37165,1400,Fayetteville,37,NC
58100,37167,900,Charlotte,37,NC
44711,37169,401,Winston-Salem,37,NC
71219,37171,401,Winston-Salem,37,NC
12968,37173,1202,Sylva,37,NC
29334,37175,1203,Asheville,37,NC
4149,37177,2100,Washington,37,NC
123677,37179,900,Charlotte,37,NC
42954,37181,1702,Henderson,37,NC
627846,37183,1701,Raleigh,37,NC
19972,37185,1702,Henderson,37,NC
13723,37187,2100,Washington,37,NC
42695,37189,1001,Boone,37,NC
113329,37191,1800,Goldsboro,37,NC
65632,37193,601,North Wilkesboro,37,NC
73814,37195,1600,Wilson,37,NC
36348,37197,401,Winston-Salem,37,NC
17774,37199,1002,Morganton,37,NC
2593,38001,26404,Lemmon,38,ND
11775,38003,26803,Jamestown,38,ND
6964,38005,26301,Devils Lake,38,ND
888,38007,26410,Dickinson,38,ND
7149,38009,26304,Minot,38,ND
3242,38011,26403,Bowman,38,ND
2242,38013,26412,Williston,38,ND
69416,38015,26201,Bismarck,38,ND
123138,38017,26801,Fargo,38,ND
4831,38019,26702,Grafton,38,ND
5757,38021,26802,Lisbon,38,ND
2283,38023,26412,Williston,38,ND
3600,38025,26410,Dickinson,38,ND
2757,38027,26302,Carrington,38,ND
4331,38029,26203,Linton,38,ND
3759,38031,26302,Carrington,38,ND
1924,38033,26409,Glendive,30,MT
66109,38035,26704,Grand Forks,38,ND
2841,38037,26202,East Grant UT,38,ND
2754,38039,26804,Cooperstown,38,ND
2715,38041,26404,Lemmon,38,ND
2753,38043,26204,Steele,38,ND
4701,38045,26803,Jamestown,38,ND
2308,38047,26203,Linton,38,ND
5987,38049,26304,Minot,38,ND
3390,38051,26203,Linton,38,ND
5737,38053,26411,Sidney,38,ND
9311,38055,26201,Bismarck,38,ND
8644,38057,26201,Bismarck,38,ND
25303,38059,26201,Bismarck,38,ND
6631,38061,26411,Sidney,38,ND
3715,38063,26301,Devils Lake,38,ND
2065,38065,26201,Bismarck,38,ND
8585,38067,26702,Grafton,38,ND
4675,38069,26305,Rugby,38,ND
12066,38071,26301,Devils Lake,38,ND
5890,38073,26802,Lisbon,38,ND
2610,38075,26304,Minot,38,ND
17998,38077,26801,Fargo,38,ND
13674,38079,26303,Turtle Mountain UT,38,ND
4366,38081,26802,Lisbon,38,ND
1710,38083,26305,Rugby,38,ND
4044,38085,26603,East Corson UT,46,SD
767,38087,26403,Bowman,38,ND
22636,38089,26410,Dickinson,38,ND
2258,38091,26704,Grand Forks,38,ND
21908,38093,26803,Jamestown,38,ND
2876,38095,26303,Turtle Mountain UT,38,ND
8477,38097,26704,Grand Forks,38,ND
12389,38099,26702,Grafton,38,ND
58795,38101,26304,Minot,38,ND
5102,38103,26305,Rugby,38,ND
19761,38105,26412,Williston,38,ND
27330,39001,12701,Cincinnati,39,OH
108473,39003,13400,Lima,39,OH
52523,39005,16000,Mansfield,39,OH
102728,39007,15200,Cleveland,39,OH
62223,39009,15800,Athens,39,OH
46611,39011,13400,Lima,39,OH
70226,39013,15600,Wheeling,54,WV
42285,39015,12701,Cincinnati,39,OH
332807,39017,12701,Cincinnati,39,OH
28836,39019,15000,Canton,39,OH
38890,39021,12501,Dayton,39,OH
144742,39023,12501,Dayton,39,OH
177977,39025,12701,Cincinnati,39,OH
40543,39027,12502,Washington Court House,39,OH
112075,39029,16400,Youngstown,39,OH
36655,39031,15000,Canton,39,OH
46966,39033,16000,Mansfield,39,OH
1393978,39035,15200,Cleveland,39,OH
53309,39037,12501,Dayton,39,OH
39500,39039,13502,Defiance,39,OH
109989,39041,15900,Columbus,39,OH
79551,39043,15100,Lorain,39,OH
122759,39045,15900,Columbus,39,OH
28433,39047,12502,Washington Court House,39,OH
1068978,39049,15900,Columbus,39,OH
42084,39051,13501,Toledo,39,OH
31069,39053,15800,Athens,39,OH
90895,39055,15200,Cleveland,39,OH
147886,39057,12501,Dayton,39,OH
40792,39059,15400,Zanesville,39,OH
845303,39061,12701,Cincinnati,39,OH
71295,39063,13300,Findlay,39,OH
31945,39065,13300,Findlay,39,OH
15856,39067,15000,Canton,39,OH
29210,39069,13501,Toledo,39,OH
40875,39071,12502,Washington Court House,39,OH
28241,39073,15900,Columbus,39,OH
38943,39075,15000,Canton,39,OH
59487,39077,15100,Lorain,39,OH
32641,39079,15700,Scioto,39,OH
73894,39081,15500,Steubenville,39,OH
54500,39083,15900,Columbus,39,OH
227511,39085,15200,Cleveland,39,OH
62319,39087,17100,Huntington,21,KY
145491,39089,15900,Columbus,39,OH
46005,39091,12501,Dayton,39,OH
284664,39093,15100,Lorain,39,OH
455054,39095,13501,Toledo,39,OH
40213,39097,15900,Columbus,39,OH
257555,39099,16400,Youngstown,39,OH
66217,39101,16000,Mansfield,39,OH
151095,39103,15200,Cleveland,39,OH
23072,39105,15800,Athens,39,OH
40924,39107,13400,Lima,39,OH
98868,39109,12501,Dayton,39,OH
15180,39111,15600,Wheeling,54,WV
559062,39113,12501,Dayton,39,OH
14897,39115,15400,Zanesville,39,OH
31628,39117,16000,Mansfield,39,OH
84585,39119,15400,Zanesville,39,OH
14058,39121,15400,Zanesville,39,OH
40985,39123,13501,Toledo,39,OH
20293,39125,13502,Defiance,39,OH
34078,39127,15400,Zanesville,39,OH
52727,39129,15900,Columbus,39,OH
27695,39131,15700,Scioto,39,OH
152061,39133,15200,Cleveland,39,OH
42337,39135,12501,Dayton,39,OH
34726,39137,13400,Lima,39,OH
128852,39139,16000,Mansfield,39,OH
73345,39141,15700,Scioto,39,OH
61792,39143,13300,Findlay,39,OH
79195,39145,15700,Scioto,39,OH
58683,39147,13300,Findlay,39,OH
47910,39149,12501,Dayton,39,OH
378098,39151,15000,Canton,39,OH
542899,39153,15200,Cleveland,39,OH
225116,39155,16400,Youngstown,39,OH
90914,39157,15000,Canton,39,OH
40909,39159,15900,Columbus,39,OH
29659,39161,13400,Lima,39,OH
12806,39163,15700,Scioto,39,OH
158383,39165,12701,Cincinnati,39,OH
63251,39167,15300,Parkersburg,54,WV
111564,39169,15000,Canton,39,OH
39188,39171,13502,Defiance,39,OH
121065,39173,13501,Toledo,39,OH
22908,39175,13300,Findlay,39,OH
21038,40001,30200,Muskogee,40,OK
6105,40003,30502,Enid,40,OK
13879,40005,33901,Ada,40,OK
5857,40007,31004,Liberal,20,KS
19799,40009,33801,Elk City,40,OK
11976,40011,30502,Enid,40,OK
36534,40013,33902,Sherman,48,TX
30150,40015,33802,Chickasha,40,OK
87697,40017,33803,Oklahoma City,40,OK
45621,40019,33700,Ardmore,40,OK
42521,40021,30200,Muskogee,40,OK
15342,40023,34002,Idabel,40,OK
3148,40025,31006,Guymon,40,OK
208016,40027,33803,Oklahoma City,40,OK
6031,40029,33901,Ada,40,OK
114996,40031,33601,Lawton,40,OK
6614,40033,33601,Lawton,40,OK
14950,40035,30402,Tulsa,40,OK
67367,40037,30402,Tulsa,40,OK
